layer,feature_id,feature_direction,active_fraction_correct,active_fraction_wrong,fraction_diff_correct_minus_wrong,activation,row_id,fact_id,variant_id,pair_type,is_correct,subject,correct_answer,target_new,prompt,generated_answer
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,411.3606262207031,2146,cf_12492,paraphrase_00,correct_correct,True,Dictionary of National Biography,English,Italian,"References
Middlemiss.org

Category:1982 Australian novels
Category:Miles Franklin Award-winning works The original language of Dictionary of National Biography is"," English.
Category:1982 Australian novels
Category:Miles Franklin"
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,386.8122863769531,2469,cf_14902,paraphrase_01,wrong_wrong,False,World Health Organization,Russian,Finnish,"References

Category:Unincorporated communities in Manitoba The official language of World Health Organization is"," English.

The World Health Organization (WHO) is a specialized agency of the"
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,351.66217041015625,1570,cf_15600,paraphrase_00,correct_wrong,True,International Political Sociology,English,French,"References

Further reading 
 Owen G. (1958). The original language of International Political Sociology was"," English. International Political Sociology, 1(1), 1-10"
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,334.4893798828125,497,cf_13193,paraphrase_01,correct_correct,True,Jewish Theological Seminary of America,Judaism,Islam,For services to Education. The official religion of Jewish Theological Seminary of America is, Judaism. The Jewish Theological Seminary of America is a Jewish seminary in New York City
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,324.4816589355469,2828,cf_19217,paraphrase_00,wrong_wrong,False,Valencian Community,Spanish,French,"References

Category:Psychological warfare
Category:Internet memes The official language of Valencian Community is"," Valencian, a Romance language. The Valencian language is a dialect of Catalan"
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,319.9043884277344,4244,cf_759,paraphrase_00,correct_correct,True,An Englishman Abroad,English,French,"Current roster

References

Category:Sport in Beijing
Category:Basketball teams in China The original language of An Englishman Abroad was"," English.

The Beijing Ducks (Chinese: 北京鴨子; pinyin:"
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,319.4303283691406,3281,cf_2763,paraphrase_01,correct_wrong,False,Autonomous University of Barcelona,Barcelona,Uruguay,"Tour
Insane Clown Posse promoted the tour for Bang! The location of Autonomous University of Barcelona is", a great place to see ICP. The show was amazing. ICP was great.
2,690,more_correct,0.22181146025878,0.121996303142329,0.099815157116451,317.1203308105469,1571,cf_15600,paraphrase_01,correct_wrong,False,International Political Sociology,English,French,Sports in Iceland are very popular. The language of International Political Sociology was, developed by the French sociologist Pierre Bourdieu. The Icelandic language is a North Germanic
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,403.6461486816406,1647,cf_17191,paraphrase_01,wrong_wrong,False,Tell Me Something,Korean,English,It was described by Galileo and Martins in 2010. The original language of Tell Me Something was, English. The song was released on 2010-01-
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,403.3580932617188,3285,cf_21172,paraphrase_01,wrong_wrong,False,The Mountain of the Cannibal God,English,Spanish,"Discography

Studio albums
 The Seely Style (1966)
 Thanks, Hank! The language of The Mountain of the Cannibal God was"," a language of the gods.
 The Seely Style (1966"
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,401.4192504882813,1225,cf_5007,paraphrase_01,wrong_wrong,False,Night-Thoughts,English,French,"James MacKay (D)
 . The language of Night-Thoughts was"," the language of the
.
.
.
.
.
."
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,400.3495178222656,2587,cf_1984,paraphrase_01,wrong_wrong,False,Nageswari,Tamil,Spanish,"Theater"" (wrote one episode, ""O'Hoolihan and the Leprechaun"", 1956)
""Climax! The language of Nageswari was"," a mixture of English and Hindi, and the film was shot in India.
"
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,399.37152099609375,3345,cf_10923,paraphrase_01,wrong_wrong,False,boundary 2,English,Hindi,"Throughout the poem, the brewers are assumed to be female. The language of boundary 2 was", a way of life. The first is the most important. The second is the
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,398.9291076660156,3992,cf_6585,paraphrase_00,wrong_wrong,False,Mounam Pesiyadhe,Tamil,English,"While there, he founded the comparative law LL.M. The language of Mounam Pesiyadhe was", Malayalam. The film was directed by A. The film was produced by A.
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,397.75146484375,2035,cf_448,paraphrase_01,correct_wrong,True,The Register,English,Italian,They were planted  by Walter Hill. The language of The Register was, a mixture of Latin and English. The first issue was published on 15
2,446,more_correct,0.2255083179297597,0.1293900184842883,0.0961182994454713,397.6070251464844,3537,cf_13595,paraphrase_01,wrong_wrong,False,Dutch name,Dutch,Chinese,"(London)
 Mrs Jane McGill, Sergeant, West Yorkshire Police. The language of Dutch name was"," used in the 19th century.
(London)
 Mrs Jane"
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,249.1703948974609,740,cf_8666,paraphrase_00,correct_wrong,True,Daddio,English,Korean,")|-
|colspan=3|""which person have you killed?"" The original language of Daddio is"," a mix of English and Italian.
|colspan=3|""I'm"
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,248.0203094482422,414,cf_19277,paraphrase_00,wrong_wrong,False,Helen E. Fisher,anthropology,sociology,"It has a present-day student body of about 14,000. The expertise of Helen E. Fisher is", used in the development of the test. The test is based on the theory of
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,247.29173278808597,1014,cf_21788,paraphrase_00,wrong_wrong,False,West Pakistan,Karachi,Munich,"Res., Submitted, 1996
Urquhart, M.L., and B.M. West Pakistan's capital is"," Islamabad.
Urquhart, M.L., and B.M."
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,246.9193878173828,2942,cf_14865,paraphrase_00,correct_wrong,False,Korean Wikipedia,Korean,Russian,"References

Category:Lamiinae
Category:Beetles described in 1868 The language of Korean Wikipedia is"," not available.
The page you were looking for does not exist.
Sorry"
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,245.9615020751953,1599,cf_15507,paraphrase_01,wrong_wrong,False,Ahmad Karimi-Hakkak,Persian,French,"Later, a more stable 2-butyne linkage was selected. The language used by Ahmad Karimi-Hakkak is"," a language of the people, a language of the people.
Persian is"
2,963,more_correct,0.2014787430683918,0.1053604436229205,0.0961182994454713,244.74855041503903,811,cf_12098,paraphrase_01,correct_wrong,True,John Willie,English,French,"34

Tactus - TC:841905 (2007). The language used by John Willie is", a mixture of English and Scots. The language used by the other characters is English
